Date,Close/Last,Volume,Open,High,Low
04/29/2014,572.9919,--,571.5088,574.2733,567.781
04/28/2014,568.5538,--,574.8678,577.0211,560.7261
04/25/2014,572.1903,--,584.564,584.8209,571.1287
04/24/2014,591.6353,--,590.9496,593.3905,584.1094
04/23/2014,588.433,--,589.2978,590.9488,586.9075
04/22/2014,589.1109,--,583.5353,590.5802,583.5353
04/21/2014,583.4839,--,581.7315,583.8736,576.1099
04/17/2014,578.4082,--,571.1481,581.4126,570.8495
04/16/2014,567.9049,--,568.3821,568.4605,559.6574
04/15/2014,569.0022,--,565.9644,570.495,558.7056
04/14/2014,565.0181,--,564.7543,567.9271,559.6488
04/11/2014,560.3397,--,563.77,571.4955,559.2156
04/10/2014,569.1472,--,587.0812,588.446,568.8059
04/09/2014,587.7205,--,585.2789,588.0751,581.1535
04/08/2014,581.1799,--,574.8661,581.8993,574.3791
04/07/2014,573.9129,--,577.2133,582.5886,570.6787
04/04/2014,579.1888,--,600.4069,600.687,578.3684
04/03/2014,595.9343,--,598.0514,601.3981,593.1982
04/02/2014,594.9421,--,596.2372,597.2235,592.0254
04/01/2014,595.9081,--,589.5181,595.9081,588.8491
03/31/2014,586.7448,--,580.8274,588.4035,580.6942
03/28/2014,577.4836,--,574.8257,582.1856,574.4371
03/27/2014,573.322,--,577.5738,580.0247,572.0121
03/26/2014,577.8442,--,587.9411,591.1056,577.8317
03/25/2014,584.3343,--,583.2679,587.6732,581.1648
03/24/2014,579.8534,--,583.9827,585.6426,575.4574
03/21/2014,582.5366,--,589.4028,590.1072,580.8888
03/20/2014,587.6287,--,576.0254,587.6887,575.7768
03/19/2014,576.6934,--,577.0343,580.8493,573.1785
03/18/2014,577.1905,--,569.625,577.4736,569.0455
03/17/2014,569.5044,--,565.5331,571.2387,565.5331
03/14/2014,562.4759,--,564.9735,567.6289,562.1488
03/13/2014,565.1403,--,576.1954,577.9701,562.2872
03/12/2014,574.9199,--,568.699,575.0131,566.0083
03/11/2014,570.0828,--,574.6342,576.3218,568.5725
03/10/2014,573.2198,--,574.1,575.7619,570.8166
03/07/2014,574.3892,--,576.8575,577.639,572.5678
03/06/2014,575.0182,--,572.4625,575.5427,570.6314
03/05/2014,571.3023,--,569.9315,572.5791,568.9109
03/04/2014,570.1264,--,566.7721,570.8466,566.7287
03/03/2014,560.2268,--,558.2649,561.6043,555.0034
02/28/2014,563.8305,--,564.3048,565.9896,559.7596
02/27/2014,564.2194,--,563.685,565.1126,560.2509
02/26/2014,564.2927,--,562.3123,568.2358,562.2596
02/25/2014,560.5438,--,563.9822,564.3401,557.8299
02/24/2014,563.3698,--,563.1401,567.1581,562.8462
02/21/2014,561.2073,--,565.3304,566.2552,559.8547
02/20/2014,564.0642,--,560.7569,564.6868,559.3426
02/19/2014,560.0227,--,558.9209,562.5887,558.3826
02/18/2014,560.4532,--,558.9665,560.9155,556.2319
02/14/2014,559.1187,--,555.1323,559.8867,553.4435
02/13/2014,556.0222,--,547.1737,556.0377,546.3428
02/12/2014,549.4757,--,545.9233,550.3382,545.8667
02/11/2014,544.859,--,538.4763,546.2311,538.2516
02/10/2014,538.0424,--,534.7752,538.5023,534.3472
02/07/2014,535.3066,--,529.5822,535.6081,526.9568
02/06/2014,526.6717,--,519.8971,527.7964,519.634
02/05/2014,518.4573,--,516.5011,520.6886,512.7185
02/04/2014,518.3361,--,518.025,519.1162,515.3185
02/03/2014,517.4627,--,528.1417,529.2032,516.4316
01/31/2014,529.1847,--,525.568,531.6327,525.4728
01/30/2014,531.9571,--,529.8898,533.333,527.6116
01/29/2014,525.1383,--,524.0335,529.9303,523.911
01/28/2014,527.5391,--,523.7823,528.6623,522.2639
01/27/2014,525.2656,--,529.873,531.4918,522.2768
01/24/2014,528.8882,--,538.8959,539.3165,528.5593
01/23/2014,541.488,--,544.0586,544.4276,538.5572
01/22/2014,547.4745,--,541.0392,547.9206,540.2432
01/21/2014,541.498,--,540.6439,541.7573,537.1855
01/17/2014,538.1378,--,538.4157,541.9932,536.896
01/16/2014,541.05,--,543.1945,544.1551,540.0998
01/15/2014,544.2103,--,541.2717,545.7471,541.2437
01/14/2014,539.6095,--,529.149,540.1449,529.0973
01/13/2014,527.6617,--,533.1084,534.8869,526.2629
01/10/2014,533.7011,--,533.3611,534.6943,531.3514
01/09/2014,531.4929,--,535.7332,536.1884,529.5843
01/08/2014,535.7631,--,532.0372,535.8884,530.2423
01/07/2014,527.4335,--,525.1491,528.2935,524.4784
01/06/2014,523.7682,--,527.101,527.101,522.8812
01/03/2014,526.6806,--,526.9095,528.2671,524.4562
01/02/2014,527.7466,--,530.6671,530.7469,525.9541
12/31/2013,535.0332,--,533.0276,535.7856,532.6523
12/30/2013,531.5691,--,529.6431,532.1826,529.3222
12/27/2013,529.9585,--,531.2524,531.585,529.422
12/26/2013,529.8268,--,529.8222,530.9575,528.5326
12/24/2013,528.3542,--,526.7463,529.5259,526.7226
12/23/2013,526.6451,--,524.1311,527.0997,523.7981
12/20/2013,522.0864,--,518.079,523.6012,517.9254
12/19/2013,517.7823,--,519.8823,519.8823,515.5806
12/18/2013,521.073,--,516.7227,521.1939,509.6377
12/17/2013,517.1819,--,512.1941,518.7079,512.1941
12/16/2013,512.1509,--,512.023,515.1115,511.8716
12/13/2013,505.522,--,507.5373,508.5365,504.2975
12/12/2013,505.8406,--,510.1787,511.2017,505.5576
12/11/2013,510.1738,--,514.9045,516.8404,509.8382
12/10/2013,515.3374,--,516.3286,517.8872,513.8997
12/09/2013,516.8053,--,516.6247,518.9666,516.059
12/06/2013,515.6343,--,515.7425,517.0422,514.3983
12/05/2013,509.9483,--,509.3048,511.9076,508.5336
12/04/2013,508.7703,--,509.0696,512.2749,505.2066
12/03/2013,511.1963,--,508.3762,512.8867,508.0828
12/02/2013,509.4011,--,510.4395,512.0656,508.7795
11/29/2013,510.2512,--,510.3762,512.4543,509.7808
11/27/2013,510.0141,--,506.3642,510.2244,505.1386
11/26/2013,508.3192,--,505.2255,509.3018,504.6291
11/25/2013,504.0133,--,505.0351,505.3126,500.6467
11/22/2013,504.6149,--,502.978,505.0977,502.0095
11/21/2013,504.2304,--,497.4272,504.516,497.0976
11/20/2013,495.6253,--,498.4926,499.8218,494.3005
11/19/2013,497.8803,--,503.6655,504.9345,497.3005
11/18/2013,504.2179,--,508.8352,509.7098,503.2581
11/15/2013,508.9376,--,507.2202,509.4735,502.9978
11/14/2013,505.3883,--,506.6372,507.4137,504.6153
11/13/2013,508.0019,--,501.4273,508.1265,500.6962
11/12/2013,503.6139,--,499.2094,503.8792,499.0658
11/11/2013,500.3951,--,499.7106,501.2948,497.8228
11/08/2013,500.9773,--,496.0909,500.9773,500.9773
11/07/2013,495.2002,--,503.9804,504.2037,494.4395
11/06/2013,504.915,--,504.7125,505.0837,501.7695
11/05/2013,503.1311,--,501.3942,505.0697,498.7529
11/04/2013,504.6835,--,506.2536,506.3586,503.5678
11/01/2013,505.398,--,507.9325,509.288,503.5667
10/31/2013,507.0933,--,505.3877,510.175,505.0358
10/30/2013,504.3309,--,507.388,508.748,502.3316
10/29/2013,507.0352,--,501.5441,507.072,501.5441
10/28/2013,499.4908,--,496.3124,500.26,495.4094
10/25/2013,496.3005,--,495.8238,496.8384,494.342
10/24/2013,494.1533,--,493.8568,496.3282,493.1414
10/23/2013,490.1091,--,497.1617,497.1617,487.7218
10/22/2013,507.1247,--,507.7689,508.7498,504.2797
10/21/2013,508.0443,--,507.085,508.4782,505.9729
10/18/2013,506.4409,--,504.5019,506.7655,502.2736
10/17/2013,505.0885,--,497.9449,505.4087,496.4078
10/16/2013,501.5753,--,497.0448,501.9451,496.9953
10/15/2013,496.5004,--,500.4063,502.1322,496.1166
10/14/2013,500.9828,--,493.9535,501.7907,493.7202
10/11/2013,497.3754,--,493.5211,498.9205,492.7417
10/10/2013,496.4834,--,485.1102,497.0263,489.9435
10/09/2013,485.1102,--,486.8182,488.6443,480.1317
10/08/2013,486.8182,--,495.0946,496.591,485.322
10/07/2013,495.0946,--,497.7201,498.7038,492.2097
10/04/2013,497.7201,--,493.7973,498.8646,493.8923
10/03/2013,493.7973,--,495.0983,497.4793,488.9069
10/02/2013,495.0983,--,495.7703,495.4319,491.9023
10/01/2013,495.7703,--,490.8347,496.8585,491.4478
09/30/2013,490.8347,--,490.8147,492.6251,484.5486
09/27/2013,490.8147,--,494.7107,493.1021,489.7809
09/26/2013,494.7107,--,494.9454,498.077,492.8224
09/25/2013,494.9454,--,494.7307,497.6595,492.0056
09/24/2013,494.7307,--,491.2862,497.0145,491.0077
09/23/2013,491.2862,--,493.1455,496.2568,489.2399
09/20/2013,493.1455,--,496.0865,498.9637,492.7274
09/19/2013,496.0865,--,497.6706,500.2426,494.5007
09/18/2013,497.6706,--,493.4048,498.0711,491.2855
09/17/2013,493.4048,--,490.3514,494.3662,491.7037
09/16/2013,490.3514,--,488.2325,493.8816,489.6445
09/13/2013,488.2325,--,486.0594,488.3685,483.7973
09/12/2013,486.0594,--,489.0422,490.1639,485.578
09/11/2013,489.0422,--,490.646,490.3503,484.7592
09/10/2013,490.646,--,481.4172,490.6768,485.4192
09/09/2013,481.4172,--,475.0989,482.543,477.0614
09/06/2013,475.0989,--,477.0395,479.1243,471.2444
09/05/2013,477.0395,--,473.5589,478.004,474.1341
09/04/2013,473.5589,--,461.6371,474.471,463.1684
09/03/2013,461.6371,--,457.6989,467.2107,459.232
08/30/2013,457.6989,--,461.8203,462.2858,456.2251
08/29/2013,461.8203,--,456.3938,463.1384,456.1709
08/28/2013,456.3938,--,451.2151,458.7217,452.1986
08/27/2013,451.2151,--,462.9226,458.0857,450.5583
08/26/2013,462.9226,--,463.8229,465.839,462.191
08/23/2013,463.8229,--,463.8266,464.9145,461.2499
08/22/2013,463.8266,--,458.5322,464.7319,460.1124
08/21/2013,458.5322,--,461.8281,462.4686,456.9343
08/20/2013,461.8281,--,459.2855,463.537,458.7532
08/19/2013,459.2855,--,462.462,464.0672,459.0402
08/16/2013,462.462,--,460.844,466.7458,460.3396
08/15/2013,460.844,--,471.3431,465.4308,460.5076
08/14/2013,471.3431,--,479.0653,475.7255,470.8388
08/13/2013,479.0653,--,473.6186,479.759,472.2426
08/12/2013,473.6186,--,471.7637,475.0347,469.8172
08/09/2013,471.7637,--,474.307,474.6052,470.9335
08/08/2013,474.307,--,474.119,476.4727,471.5867
08/07/2013,474.119,--,478.6774,477.2154,472.2022
08/06/2013,478.6774,--,482.1403,482.0347,477.1082
08/05/2013,482.1403,--,483.3806,482.7495,480.5629
08/02/2013,483.3806,--,486.6018,483.9849,480.4282
08/01/2013,486.6018,--,477.7814,486.7906,481.7578
07/31/2013,477.7814,--,475.5888,480.7049,475.8457
07/30/2013,475.5888,--,469.9696,476.5229,471.104
07/29/2013,469.9696,--,473.1177,473.6339,469.1336
07/26/2013,473.1177,--,477.3974,473.1626,470.4719
07/25/2013,477.3974,--,474.6942,477.4335,471.8959
07/24/2013,474.6942,--,483.5159,483.6561,473.9489
07/23/2013,483.5159,--,485.1458,490.123,482.7904
07/22/2013,485.1458,--,486.1747,487.0057,483.1026
07/19/2013,486.1747,--,487.2169,486.2216,481.7401
07/18/2013,487.2169,--,491.5832,492.1039,485.7417
07/17/2013,491.5832,--,491.0643,493.1982,489.9222
07/16/2013,491.0643,--,489.3305,493.228,488.9854
07/15/2013,489.3305,--,489.6111,490.4956,488.3287
07/12/2013,489.6111,--,486.562,490.1171,486.7271
07/11/2013,486.562,--,476.7012,486.8525,481.0594
07/10/2013,476.7012,--,471.4107,477.61,470.1387
07/09/2013,471.4107,--,466.5024,472.5762,469.3042
07/08/2013,466.5024,--,476.1236,477.7462,464.8353
07/05/2013,476.1236,--,469.7972,476.3157,470.5387
07/03/2013,469.7972,--,468.1784,471.7121,465.1201
07/02/2013,468.1784,--,467.7258,472.8807,465.2564
07/01/2013,467.7258,--,468.4339,472.7593,467.2907
06/28/2013,468.4339,--,466.7365,471.1289,463.0332
06/27/2013,466.7365,--,464.9268,470.8452,466.6603
06/26/2013,464.9268,--,462.5109,467.2035,462.1983
06/25/2013,462.5109,--,451.5528,463.6167,455.3715
06/24/2013,451.5528,--,460.8501,458.0694,448.2312
06/21/2013,460.8501,--,459.7243,464.3288,455.7899
06/20/2013,459.7243,--,474.5133,468.2565,458.2216
06/19/2013,474.5133,--,480.0619,482.0631,474.3494
06/18/2013,480.0619,--,472.3416,480.5165,473.1336
06/17/2013,472.3416,--,465.5306,475.3274,469.8241
06/14/2013,465.5306,--,467.3828,469.6263,464.6526
06/13/2013,467.3828,--,458.3297,468.0779,456.4962
06/12/2013,458.3297,--,463.4274,468.8091,457.6209
06/11/2013,463.4274,--,473.9674,470.6744,463.3066
06/10/2013,473.9674,--,471.4701,474.8693,470.3474
06/07/2013,471.4701,--,464.6574,471.9683,464.102
06/06/2013,464.6574,--,465.2862,468.5042,459.9972
06/05/2013,465.2862,--,472.4509,471.7337,464.7529
06/04/2013,472.4509,--,470.7204,477.5819,470.5382
06/03/2013,470.7204,--,468.6311,474.1191,465.0084
05/31/2013,468.6311,--,474.4277,475.6204,468.5554
05/30/2013,474.4277,--,467.2863,476.4976,468.9844
05/29/2013,467.2863,--,465.9419,468.9866,462.9806
05/28/2013,465.9419,--,461.4953,469.3485,464.7135
05/24/2013,461.4953,--,461.7534,461.5109,457.1329
05/23/2013,461.7534,--,461.6219,462.3884,454.8147
05/22/2013,461.6219,--,469.0341,473.8635,459.5952
05/21/2013,469.0341,--,469.1236,470.7739,467.5667
05/20/2013,469.1236,--,470.6326,472.096,468.6799
05/17/2013,470.6326,--,464.2799,470.7736,466.0305
05/16/2013,464.2799,--,467.8168,470.008,464.1405
05/15/2013,467.8168,--,463.3297,469.3316,462.5009
05/14/2013,463.3297,--,461.2784,464.3555,460.6271
05/13/2013,461.2784,--,465.9394,464.8275,460.5927
05/10/2013,465.9394,--,461.8483,466.0112,462.5613
05/09/2013,461.8483,--,459.4685,463.7317,458.3863
05/08/2013,459.4685,--,453.6224,459.7768,452.8615
05/07/2013,453.6224,--,453.469,455.3528,451.1765
05/06/2013,453.469,--,450.9213,455.548,451.5398
05/03/2013,450.9213,--,446.8935,453.7115,450.1741
05/02/2013,446.8935,--,440.8022,447.3161,440.4641
05/01/2013,440.8022,--,444.3564,444.7552,440.3034
04/30/2013,444.3564,--,440.805,444.371,438.6543
04/29/2013,440.805,--,435.2863,441.7662,435.7102
04/26/2013,435.2863,--,439.9836,437.166,434.0922
04/25/2013,439.9836,--,435.648,442.6894,435.7924
04/24/2013,435.648,--,430.2098,436.9034,429.3327
04/23/2013,430.2098,--,421.3678,431.1792,424.5737
04/22/2013,421.3678,--,416.9731,422.9092,412.4327
04/19/2013,416.9731,--,413.8815,417.9867,410.6813
04/18/2013,413.8815,--,417.6513,423.5008,412.6868
04/17/2013,417.6513,--,431.8486,426.2204,415.7639
04/16/2013,431.8486,--,422.673,432.2127,425.2375
04/15/2013,422.673,--,433.6265,432.3071,422.4793
04/12/2013,433.6265,--,435.6333,434.7957,428.7048
04/11/2013,435.6333,--,437.3415,438.1396,432.9415
04/10/2013,437.3415,--,428.1433,437.648,428.9385
04/09/2013,428.1433,--,424.1663,430.9482,421.6625
04/08/2013,424.1663,--,418.9295,424.197,415.5701
04/05/2013,418.9295,--,421.1429,419.5018,411.993
04/04/2013,421.1429,--,415.8136,421.1868,415.0913
04/03/2013,415.8136,--,424.2132,425.4083,414.2317
04/02/2013,424.2132,--,427.7995,429.555,422.4815
04/01/2013,427.7995,--,436.6637,435.7517,426.5369
03/28/2013,436.6637,--,433.5323,437.0623,431.9485
03/27/2013,433.5323,--,433.0723,434.2206,427.9549
03/26/2013,433.0723,--,429.169,433.2788,429.8061
03/25/2013,429.169,--,430.0815,433.0858,426.6981
03/22/2013,430.0815,--,425.2487,432.0111,427.7419
03/21/2013,425.2487,--,432.007,429.7969,424.6531
03/20/2013,432.007,--,426.7281,432.9447,429.5215
03/19/2013,426.7281,--,428.3865,430.8711,422.9028
03/18/2013,428.3865,--,434.1816,432.1065,426.3036
03/15/2013,434.1816,--,441.5284,441.505,432.9576
03/14/2013,441.5284,--,439.1413,443.4056,440.5668
03/13/2013,439.1413,--,437.6743,440.1948,435.2726
